"Alt Row	Column	State	Abbreviation",,
"9	0.5	Alaska	AK",,
"9	11.5	Maine	ME",,
"8	11	New Hampshire	NH",,
"8	10	Vermont	VT",,
"7	10.5	Massachusetts	MA",,
"7	7.5	Michigan	MI",,
"7	4.5	Minnesota	MN",,
"7	2.5	Montana	MT",,
"7	3.5	North Dakota	ND",,
"7	9.5	New York	NY",,
"7	11.5	Rhode Island	RI",,
"7	1.5	Washington	WA",,
"7	5.5	Wisconsin	WI",,
"6	11	Connecticut	CT",,
"6	5	Iowa	IA",,
"6	2	Idaho	ID",,
"6	6	Illinois	IL",,
"6	7	Indiana	IN",,
"6	10	New Jersey	NJ",,
"6	8	Ohio	OH",,
"6	9	Pennsylvania	PA",,
"6	4	South Dakota	SD",,
"6	3	Wyoming	WY",,
"5	3.5	Colorado	CO",,
"5	9.5	Delaware	DE",,
"5	6.5	Kentucky	KY",,
"5	8.5	Maryland	MD",,
"5	5.5	Missouri	MO",,
"5	4.5	Nebraska	NE",,
"5	2.5	Nevada	NV",,
"5	1.5	Oregon	OR",,
"5	7.5	West Virginia	WV",,
"4	6	Arkansas	AR",,
"4	3	Arizona	AZ",,
"4	2	California	CA",,
"4	12	District of Columbia	DC",,
"4	5	Kansas	KS",,
"4	9	North Carolina	NC",,
"4	7	Tennessee	TN",,
"4	4	Utah	UT",,
"4	8	Virginia	VA",,
"3	7.5	Alabama	AL",,
"3	5.5	Louisiana	LA",,
"3	6.5	Mississippi	MS",,
"3	3.5	New Mexico	NM",,
"3	4.5	Oklahoma	OK",,
"3	8.5	South Carolina	SC",,
"2	8	Georgia	GA",,
"2	4	Texas	TX",,
"1	8.5	Florida	FL",,
"1	0.5	Hawaii	HI",,
